names,0
 Gruby's New York Deli,bad_topic2
# 19,bad_topic2
051 Subs,bad_topic2
081 Italian Restaurant & Take Out,bad_topic2
10 HIGH Club,bad_topic2
101 Bagel Cafe,bad_topic2
101 Beer Kitchen,bad_topic2
13 Virtues Brewing,bad_topic2
15th Ave Hophouse,bad_topic2
1776 Cheesesteak,bad_topic2
1831Tavern,bad_topic2
1911 Biscuits & Burgers,bad_topic2
2 Chefs and a Table,bad_topic2
21st Amendment,bad_topic2
24 Diner,bad_topic2
24th & Meatballs,bad_topic2
255 Tapas Lounge,bad_topic2
2N1 Salad Bar and Grill,bad_topic2
2Twenty2,bad_topic2
2nd Street Cafe,bad_topic2
3 Chicks Espresso Cafe,bad_topic2
303 Caf茅,bad_topic2
310 Lakeside,bad_topic2
33 & Melt,bad_topic2
3350 Poke Cafe,bad_topic2
360 Primo Coffee Shop,bad_topic2
40 Carrots,bad_topic2
4Corners Tavern,bad_topic2
4th Street Bar & Grill,bad_topic2
5 Napkin Burger,bad_topic2
5 South Main,bad_topic2
50's Burgers,bad_topic2
50's Diner,bad_topic2
503 Burger Co,bad_topic2
5Church Atlanta,bad_topic2
6th Ave Bread & Deli,bad_topic2
787 Mofongo,bad_topic2
808 Sunrise Deli,bad_topic2
87th & Meatballs,bad_topic2
888 Caffe Express,bad_topic2
888 Mini Cafe,bad_topic2
888 Pan Asian Restaurant,bad_topic2
89 Fish & Grill,bad_topic2
903 Mills Market,bad_topic2
95th Street Grill,bad_topic2
A & J Wingburger,bad_topic2
A Bread Affair,bad_topic2
A Common Table,bad_topic2
A Fork In the Road - Norwell,bad_topic2
A Royal Affair Cafe,bad_topic2
A&B Burgers,bad_topic2
A&B Salem,bad_topic2
A&D Buffalo's,bad_topic2
A&W,bad_topic2
A&W Restaurant,bad_topic2
A'port Diner,bad_topic2
ABC Commissary,bad_topic2
AJ on the Rails,bad_topic2
AJ's Press,bad_topic2
APM coffee,bad_topic3
ATL DELI,bad_topic3
ATL Deli,bad_topic2
Abel's On the Lake,bad_topic2
Acapulco Mexican Taqueria,bad_topic2
Ace Burger Bar,bad_topic2
Ace Ticket Agency,bad_topic3
Achilles Art Cafe Coffee Shop,bad_topic2
Achiote Puerto Rican Restaurant,bad_topic2
Ada's Cafe,bad_topic2
Adams Corner Caf茅 & Butcher,bad_topic2
Addy's Sandwich Bar,bad_topic2
Adler's,bad_topic2
Adonia Tea House,bad_topic2
AeroJuice,bad_topic2
Against The Grain,bad_topic2
Airport Cafe,bad_topic2
Aisle 5,bad_topic2
Al Fresco,bad_topic2
Al's Harvard Square Cafe,bad_topic2
Al's South Street Cafe,bad_topic2
Al's State Street Cafe,bad_topic2
Al's Tech Square Cafe,bad_topic2
Al's Tradecenter Cafe,bad_topic2
Aladdin's Mediterranean Grill,bad_topic2
Alba Deli,bad_topic2
Alchemy Caf茅,bad_topic2
Alex's Kitchen,bad_topic2
Alexander's Convenient Food Stores,bad_topic2
Ali Baba's Deli,bad_topic2
Alive & Kicking Lobsters,bad_topic2
All City Subs,bad_topic2
All Italian Market & Deli,bad_topic2
All Star Burger,bad_topic2
All Star Sandwich Bar,bad_topic2
All-Spice Deli,bad_topic2
All-Way,bad_topic2
AllStar Wings & Ribs,bad_topic2
Allen's Creamery & Coffee House,bad_topic3
Allston Diner,bad_topic2
Alon's,bad_topic2
Along Came A Slider,bad_topic2
Alvin's Sandwich Shop,bad_topic2
Ambrose and Eve,bad_topic2
American Bakers Cafe,bad_topic2
American Bakers Coffee,bad_topic2
American Deli,bad_topic2
American Provisions,bad_topic2
American Provisions Dorchester,bad_topic2
American Roadhouse,bad_topic2
American Sandwich Shop,bad_topic2
American Social,bad_topic2
Americano Espresso Bar,bad_topic3
Ames Street Deli,bad_topic2
Amsterdam Cafe,bad_topic2
Amsterdam Falafelshop,bad_topic3
Ancestry Brewing,bad_topic2
Anchor Bar,bad_topic2
Anchor End Eurocafe & Bakery,bad_topic2
Andre's Burger Shack,bad_topic2
Andre's Cafe,bad_topic2
Andrea Quality Cheesecake,bad_topic2
Andys Breakfast & Lunch,bad_topic2
Angelina's,bad_topic2
Angelina's Sandwich Shop,bad_topic2
Angora Cafe,bad_topic2
Anh Hong Restaurant,bad_topic2
Ann's Snack Bar,bad_topic2
Anna Bannanas St. Johns,bad_topic2
Anna's Hand Cut Donuts,bad_topic2
Annie's,bad_topic2
Annie's Cafe & Bar,bad_topic2
Annie's Restaurant,bad_topic2
Another Broken Egg Cafe,bad_topic2
Anthony's Italian Specialties,bad_topic2
Apple Spice,bad_topic2
Apple Spice Junction,bad_topic2
Applebee's,bad_topic2
Applebee's Grill + Bar,bad_topic2
April's II,bad_topic2
April's Pub & Grill,bad_topic2
Aquamarine,bad_topic2
Arby's,bad_topic2
Arby's Roast Beef,bad_topic2
Arbys,bad_topic2
Arbys Wall Kiosk,bad_topic2
Arcadia,bad_topic2
Archie's New York Deli,bad_topic2
Area 4 Restaurant,bad_topic2
Area 52 Bar & Grill,bad_topic2
Area Four Food Truck,bad_topic2
Arena Sandwich Co. Cheesesteaks,bad_topic2
Arepa Burger,bad_topic2
Arepas and More Caf茅,bad_topic2
Argan Bistro,bad_topic2
Argentina PDX,bad_topic2
Argo Caf茅,bad_topic2
Argos Diner,bad_topic2
Aristo Cafe,bad_topic2
Arlo's,bad_topic2
Aroma Bistro & Cafe,bad_topic2
Art's Sandwich Shop,bad_topic2
Artesanal,bad_topic3
Arthur's Deli & Variety,bad_topic2
Article 24,bad_topic2
Arts At the Armory Cafe,bad_topic2
Arturo's Underground Cafe,bad_topic2
As Good As It Gets Cafe,bad_topic2
Ashmont Market & Liquor,bad_topic2
Ate-Oh-Ate,bad_topic2
Ate-Oh-Ate Grill,bad_topic2
Athan's Bakery,bad_topic2
Athena Roasted Chicken & Deli,bad_topic2
Atkins Park Restaurant,bad_topic2
Atlanta Braves All Star Grill,bad_topic2
Atlanta Bread,bad_topic2
Atlanta Bread - Dunwoody,bad_topic2
Atlanta Bread - Smyrna,bad_topic2
Atlanta Bread Company International-Bakery Division,bad_topic2
Atlanta Fish House & Grill,bad_topic2
Atlanta's Best Coffee bar,bad_topic2
Atlas,bad_topic2
Atmosphere Bistro,bad_topic2
Atomic Cafe,bad_topic2
Atwood's Tavern,bad_topic2
Au Bon Pain,bad_topic2
Au Petit Caf茅,bad_topic2
Augusta Subs & Salads,bad_topic2
Aunt Tillie's Deli,bad_topic2
Auntie Anne's,bad_topic2
Aurora Coffee,bad_topic2
Aurum Hand Pies,bad_topic2
Aussie's Grill & Beach Bar,bad_topic2
Austin Cheese Company,bad_topic2
Austin Daily Press,bad_topic2
Austin Java,bad_topic2
Austin Java Barton Springs,bad_topic2
Austin Rotisserie,bad_topic2
Austin's Coffee & Film,bad_topic2
Auto's Pub,bad_topic2
Ava Roasteria,bad_topic2
Avenue B Grocery,bad_topic2
Avenue Deli,bad_topic2
Avenue Gastrobar,bad_topic2
Average Joe's Pub & Grill,bad_topic2
Aviv,bad_topic2
Axum Coffee,bad_topic2
B Cafe,bad_topic2
B Spot,bad_topic2
B Street Coffee House,bad_topic2
B Sweets Cakes and Desserts,bad_topic2
B. Good,bad_topic2
B.GOOD,bad_topic2
B.Good Burgers - Take Out Only,bad_topic2
B.W.'s Grill,bad_topic2
BAD AS'S SANDWICH,bad_topic2
BB Junction,bad_topic2
BBQ Chicken,bad_topic2
BEERWORKS No. 2 Salem,bad_topic2
BEERWORKS No. 3 Canal,bad_topic2
BEP! Vietnamese Cuisine,bad_topic2
BGR Grille,bad_topic2
BGR The Burger Joint,bad_topic2
BITE Bistro & Wine Bar,bad_topic2
BLT Steak,bad_topic2
BNS Cafe,bad_topic2
BRU Burger Bar-Westerville,bad_topic2
BURGERFI,bad_topic2
Ba Le Banh Mi,bad_topic2
Ba Le Field Corner,bad_topic2
Ba Le Sandwich Shop,bad_topic2
Baba's,bad_topic2
Babica Hen Cafe,bad_topic2
Baby Goat Coffeehouse,bad_topic2
Bacchi's Italian Delicatessen,bad_topic2
Back Bay Sandwich,bad_topic2
Back Deck,bad_topic2
Back Yard Burgers,bad_topic2
Backspin Texas Sports Bar & Grill,bad_topic2
Bacon PDX,bad_topic2
Bad As's Sandwich,bad_topic2
Bad Daddy's Burger Bar,bad_topic2
Bad Daddys Burger Bar,bad_topic2
Bad Dog Taqueria,bad_topic2
Bada Bings,bad_topic2
Bagel & Box,bad_topic2
Bagel 13,bad_topic2
Bagel Bagel Cafe,bad_topic3
Bagel Bistro,bad_topic2
Bagel Boys Cafe,bad_topic2
Bagel King,bad_topic2
Bagel Rising,bad_topic2
Bagel World,bad_topic2
Bagel World II Bakery & Deli,bad_topic2
Bagel World Victoria Square,bad_topic2
Bagel's Best,bad_topic2
Bagelsaurus,bad_topic2
Baguette House,bad_topic2
Baguette Time,bad_topic2
Bahn Bahn,bad_topic2
Bailey & Sage,bad_topic2
Bailey's Burger Shop,bad_topic2
Bailey鈥檚 Coffee & Cream,bad_topic2
Baja Box,bad_topic2
Baked,bad_topic2
Bakehouse Bagels,bad_topic2
Baker & Table Cafe Bakery,bad_topic2
Baker Dude Bakery Cafe,bad_topic2
Baker and Baron Cafe,bad_topic2
BakerBaker,bad_topic2
Bakery Plus,bad_topic2
Bakey's Restaurant,bad_topic2
Baldinos Giant Jersey Subs,bad_topic2
Ball Square Cafe,bad_topic2
Bam Pow Burgers,bad_topic2
Bam Pow! Burgers,bad_topic2
Bambinos New York Style Deli,bad_topic2
Bambo Caf茅,bad_topic2
Bamboo Cafe,bad_topic2
Bambuza Vietnam Kitchen - Portland,bad_topic2
Banana Cafe,bad_topic2
Banh Mi Ba Le,bad_topic2
Banh Mi Bar Restaurant,bad_topic2
Banh Mi House,bad_topic2
Banh Mi Nam Loc,bad_topic2
Banh Mi Ngon,bad_topic2
Banh Mi Saigon,bad_topic2
Bao Down,bad_topic2
Baoguette Vietnamese Bistro,bad_topic2
Baopdx,bad_topic2
Baoqi Vietnamese Eateri,bad_topic2
Bar 145,bad_topic2
Bar Bar,bad_topic2
Bar Boulud - Boston,bad_topic2
Bar Cr茅ma,bad_topic2
Bar Meatball,bad_topic2
Barcelos Flame Grilled Chicken,bad_topic2
Bardo's Grill,bad_topic2
Bare Bones Cafe & Bar,bad_topic2
Bareburger,bad_topic2
Barracuda On The Fly,bad_topic4
Barry Bagels - Dublin,bad_topic2
Barry Bagels Westerville,bad_topic2
Barry's Village Deli,bad_topic2
Barton Hills Food Mart,bad_topic2
Basecamp Provisions,bad_topic2
Basil's Restaurant & Tapas Bar,bad_topic2
Basils Subs,bad_topic2
Bat Wings,bad_topic2
Bates New England Seafood & Subs,bad_topic2
Batter Up,bad_topic2
Batterfish Food Truck,bad_topic2
Bay Sweets,bad_topic2
Be Banh Mi,bad_topic2
Beach Club Marketplace,bad_topic2
Beach Hut Deli,bad_topic2
Beachmont Roast Beef,bad_topic2
Bean & Leaf Cafe,bad_topic2
Bean Around the World Coffees,bad_topic2
Bean Banh Mi,bad_topic2
Beantown Hoagie,bad_topic2
Beantown Pastrami,bad_topic2
Beantowne Coffee,bad_topic2
Bear Rock Cafe,bad_topic2
Beard Papa's,bad_topic2
Beaverton Bakery,bad_topic2
Beaverton Charburger,bad_topic2
Beaverton Sub Station,bad_topic2
Bedford House Of Roast Beef,bad_topic2
Bee Cave Coffee,bad_topic2
Beef 'O' Brady's,bad_topic2
BeefMaster Roast Beef & Seafood,bad_topic2
Beefy King,bad_topic2
Beehive Restaurant,bad_topic2
BeetBox,bad_topic2
Beez Holgate Station,bad_topic2
Behind the Museum Cafe,bad_topic2
Bel Caf茅,bad_topic2
Bella Donna Subs,bad_topic2
Bella Isla Express,bad_topic2
Bellmont Caffe,bad_topic2
Bells and Whistles,bad_topic2
Belly Burger,bad_topic2
Belly Up,bad_topic2
Belmondo Cafe,bad_topic3
Belmont Cafe,bad_topic2
Ben Hill Grill,bad_topic2
Ben and Sam's - The Vienna Bakery,bad_topic2
Benjamin French Bakery Cafe,bad_topic2
Bennett's Market & Deli,bad_topic2
Bennett's Sandwich Shop,bad_topic2
Benny's Cheesesteak,bad_topic3
Bent Whisker Sandwich,bad_topic3
Bent's Cafe,bad_topic2
Berkeley Perk Cafe,bad_topic2
Bernard's Tavern,bad_topic2
Bernie's Gourmet To Go,bad_topic2
Bernie's Hamburgers & Teriyaki,bad_topic2
Bernoulli's Bagels,bad_topic2
Bernstein's Bagels,bad_topic2
Berts Restaurant,bad_topic2
Best Bagel,bad_topic4
Best Baguette,bad_topic2
Best Bite Donair,bad_topic2
Best Burger,bad_topic2
Best Burger Bar,bad_topic2
Best of the Wurst,bad_topic2
Bestsellers Cafe,bad_topic2
Beta Burger,bad_topic2
Beth's Burger Bar,bad_topic2
Better Bagels,bad_topic2
Better U Dining,bad_topic2
Betty Ann's Sandwich Shop,bad_topic2
Beulahland,bad_topic2
Beverly Hills Boulangerie,bad_topic2
Beyond Burger Bar,bad_topic2
Bibingka,bad_topic2
Biderman's Deli,bad_topic2
Big Al's Gourmet Butter Made Burgers,bad_topic2
Big Al's Steaks,bad_topic2
Big Belly Deli,bad_topic2
Big Burger,bad_topic2
Big Chic,bad_topic2
Big City Bagels and Subs,bad_topic2
Big Country Grill,bad_topic2
Big Daddy Bagels,bad_topic2
Big Daddy's Burgers & Bar,bad_topic2
Big Dave's Cheesesteaks,bad_topic2
Big Joy - Fresh Grill Bar,bad_topic2
Big Kahuna,bad_topic2
Big League Subs,bad_topic2
Big Lou's Butcher Shop,bad_topic2
Big Rob's Burgers,bad_topic2
Big Smoke Burger,bad_topic2
Big Star Sandwich,bad_topic2
Big Star Sandwich Co.,bad_topic2
Big Star Sandwich Company,bad_topic2
Big Star Sandwiches,bad_topic2
Big Time Street Food,bad_topic2
Big Town Hero,bad_topic2
Big-Ass Sandwiches,bad_topic2
"Bikes, Beans & Bordeaux",bad_topic2
Bikinis Sports Bar & Grill,bad_topic2
Bill & Bob's Roast Beef,bad_topic2
Billie Jean's Burger Pub,bad_topic2
Billy Blues Bar and Grill,bad_topic2
Billy Bob's New Secrets,bad_topic2
Billy Heartbeats,bad_topic2
Billy's Famous Roast Beef & Seafood,bad_topic2
Billy's Sub Shop,bad_topic2
