,names,good_topic1,good_topic2,good_topic3,good_topic4,good_topic5,good_topic6,bad_topic1,bad_topic2,bad_topic3,bad_topic4,bad_topic5,bad_topic6,main_good_topic,main_bad_topic
0, Gruby's New York Deli,0.265877298,0.24572699,0.30473123399999996,0.054521188,0.10443561800000001,0.014764063999999999,0.031427357999999996,0.490099884,0.281775967,0.125136582,0.003466195,0.061420049000000004,good_topic3,"bad_topic2,bad_topic3,bad_topic4"
1,# 19,0.217362992,0.0033456,0.598695351,0.09689659699999999,0.02170265,0.056114639,0.01307701,0.605195403,0.211257435,0.039543167000000004,0.0,0.128391474,good_topic3,"bad_topic2,bad_topic3,bad_topic6"
2,051 Subs,0.323895721,0.0,0.365826398,0.053226712999999995,0.22502402300000002,0.023333555,0.096487117,0.556190014,0.21437965899999997,0.056522872,0.0,0.068418627,good_topic3,"bad_topic2,bad_topic3"
3,081 Italian Restaurant & Take Out,0.52099343,0.002191098,0.205290828,0.0,0.23353932600000002,0.027442862999999998,0.061361775,0.581061244,0.138596088,0.0,0.0862284,0.13160349400000002,good_topic1,"bad_topic2,bad_topic3,bad_topic6"
4,10 HIGH Club,0.0,0.0,0.47844500100000004,0.0,0.0,0.513456181,0.017023201,0.624131882,0.155570723,0.161513734,0.0,0.034591587,good_topic6,"bad_topic2,bad_topic3,bad_topic4"
5,101 Bagel Cafe,0.113289771,0.32624255,0.38175795799999995,0.0,0.16193327400000002,0.004999641,0.019982981,0.576674433,0.279482505,0.041599359,0.004850561,0.068975815,good_topic3,"bad_topic2,bad_topic3"
6,101 Beer Kitchen,0.164792933,0.076651207,0.033911212999999996,0.124173876,0.307993206,0.28216814100000004,0.024945766,0.5578045079999999,0.24087301100000003,0.077403647,0.0,0.090448222,good_topic5,"bad_topic2,bad_topic3"
7,13 Virtues Brewing,0.18521614600000003,0.07150102900000001,0.26912822399999997,0.0,0.113828795,0.349122986,0.027638642,0.5469341,0.23483490699999998,0.10859331900000001,0.008795302,0.067190435,good_topic6,"bad_topic2,bad_topic3,bad_topic4"
8,15th Ave Hophouse,0.076178314,0.079556778,0.122117354,0.081934779,0.164977251,0.46400189,0.011088361000000001,0.5149822070000001,0.25302922699999997,0.071910035,0.009157638000000001,0.132720859,good_topic6,"bad_topic2,bad_topic3,bad_topic6"
9,1776 Cheesesteak,0.29739831899999997,0.028796622999999997,0.371714785,0.166834849,0.111476923,0.013171859,0.030211174,0.5174059,0.214475406,0.12188921300000001,0.0044042759999999995,0.10333165400000001,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
10,1831Tavern,0.263452686,0.03803543,0.14199330300000002,0.0,0.234097958,0.31357698100000003,0.0252104,0.5168847839999999,0.19552809999999998,0.172520089,0.0,0.082787149,good_topic6,"bad_topic2,bad_topic3,bad_topic4"
11,1911 Biscuits & Burgers,0.119962167,0.35815910700000003,0.186082833,0.19473714399999997,0.131192847,0.0,0.0,0.735748768,0.0,0.20415608600000001,0.052174742999999996,0.0,good_topic2,"bad_topic2,bad_topic4"
12,2 Chefs and a Table,0.42251391200000005,0.067113008,0.137935231,0.248955965,0.011559851000000001,0.10999811,0.020428666,0.6151637879999999,0.140542751,0.12510838,0.0,0.092017462,good_topic1,"bad_topic2,bad_topic3,bad_topic4"
13,21st Amendment,0.064628216,0.018054798,0.131938245,0.089219535,0.23081145399999997,0.45460464100000003,0.031484093,0.547714805,0.231093154,0.076190543,0.021872195,0.083195413,good_topic6,"bad_topic2,bad_topic3"
14,24 Diner,0.013543781999999999,0.50628521,0.143232634,0.17425404,0.155551637,0.0,0.026384387000000002,0.607935578,0.227494072,0.067534869,0.0,0.065927221,good_topic2,"bad_topic2,bad_topic3"
15,24th & Meatballs,0.499614402,0.098017744,0.128429607,0.035889915,0.13189294,0.09613115900000001,0.032753625,0.43872414200000004,0.182412204,0.17874193100000002,0.026222949,0.136219843,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
16,255 Tapas Lounge,0.042086871,0.011940113,0.169509485,0.040032927,0.348476302,0.37555044299999996,0.012065073,0.509469871,0.279947438,0.090477789,0.0,0.102382203,good_topic6,"bad_topic2,bad_topic3,bad_topic6"
17,2N1 Salad Bar and Grill,0.339299966,0.258360715,0.170677566,0.059026996,0.09017116900000001,0.070568622,0.048478991,0.53739055,0.219292872,0.08316238,0.022252575,0.084429152,good_topic1,"bad_topic2,bad_topic3"
18,2Twenty2,0.11206318900000001,0.038818403,0.059438207,0.014358184,0.40728019200000004,0.356845751,0.008589435999999999,0.488699582,0.271354095,0.137456715,0.00440006,0.08314892900000001,good_topic5,"bad_topic2,bad_topic3,bad_topic4"
19,2nd Street Cafe,0.298272088,0.253088105,0.34397918899999996,0.0,0.062988146,0.033428526,0.06337584,0.537127715,0.142870147,0.17310122600000002,0.011309986999999999,0.06365782099999999,good_topic3,"bad_topic2,bad_topic3,bad_topic4"
20,3 Chicks Espresso Cafe,0.078837255,0.540785387,0.231880203,0.015700152,0.08511306199999999,0.035680261,0.0,0.563898742,0.159967735,0.166717857,0.103360854,0.0,good_topic2,"bad_topic2,bad_topic3,bad_topic4,bad_topic5"
21,303 Caf̩,0.095757014,0.293627597,0.14234566099999998,0.05151301900000001,0.070953792,0.338027928,0.039997368,0.603848134,0.140809932,0.089810876,0.004275037,0.114370851,good_topic6,"bad_topic2,bad_topic3,bad_topic6"
22,310 Lakeside,0.102212717,0.140620981,0.023878637,0.024005667999999997,0.528295539,0.170236337,0.027812893999999998,0.467333083,0.232851568,0.13950952,0.009137539,0.11756348300000001,good_topic5,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
23,33 & Melt,0.277472221,0.07646685,0.102819558,0.09461393900000001,0.19103643399999998,0.24770107600000002,0.020131017,0.52093109,0.20942092399999998,0.108254171,0.017151514,0.11548953099999999,good_topic1,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
24,3350 Poke Cafe,0.5455937829999999,0.116838291,0.041537992999999995,0.083247058,0.203279972,0.0,0.190432958,0.39235431,0.27647683,0.10886215,0.0,0.026836232999999998,good_topic1,"bad_topic1,bad_topic2,bad_topic3,bad_topic4"
25,360 Primo Coffee Shop,0.0,0.214402553,0.603582032,0.0,0.0,0.17604533600000002,0.024685572000000003,0.42104516,0.307017924,0.150856603,0.008336646,0.082567395,good_topic3,"bad_topic2,bad_topic3,bad_topic4"
26,40 Carrots,0.283862779,0.279894226,0.166773638,0.0,0.23261068899999998,0.028208282,0.026373577999999998,0.51359946,0.256671604,0.13551442,0.0,0.058020120999999994,good_topic1,"bad_topic2,bad_topic3,bad_topic4"
27,4Corners Tavern,0.15305441,0.032772472999999996,0.027731712000000002,0.107681326,0.41076974,0.257000083,0.00866854,0.544286845,0.23684378600000003,0.10915778400000001,0.005518411,0.08759245800000001,good_topic5,"bad_topic2,bad_topic3,bad_topic4"
28,4th Street Bar & Grill,0.122774704,0.11523373199999999,0.03164959,0.134515583,0.28903916,0.295145732,0.031999974,0.568073022,0.148306322,0.105556905,0.005560359,0.13093122599999998,good_topic6,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
29,5 Napkin Burger,0.083391089,0.02042959,0.06864450799999999,0.46234865700000005,0.231137192,0.126686954,0.034700222,0.544061554,0.183388435,0.114704639,0.006632456,0.112396637,good_topic4,"bad_topic2,bad_topic3,bad_topic4,bad_topic6"
30,5 South Main,0.140285026,0.311533328,0.15742021,0.001564823,0.27296107199999997,0.106123014,0.018449381,0.54331336,0.22040363899999998,0.11321099800000001,0.004888709000000001,0.091935356,good_topic2,"bad_topic2,bad_topic3,bad_topic4"
31,50's Burgers,0.050236341,0.051385212,0.09040919800000001,0.5321232229999999,0.15182679300000002,0.11484732199999999,0.046739894000000004,0.561647935,0.140066385,0.145388256,0.0,0.09789416599999999,good_topic4,"bad_topic2,bad_topic3,bad_topic4"
32,50's Diner,0.005404411,0.480748082,0.24333244699999998,0.037043877,0.172494105,0.050987795999999995,0.024643641,0.550462762,0.213452334,0.078651684,0.011555873000000001,0.11337901,good_topic2,"bad_topic2,bad_topic3,bad_topic6"
