,Unnamed: 0,names,good_topic1,good_topic2,good_topic3,good_topic4,good_topic5,good_topic6,bad_topic1,bad_topic2,bad_topic3,bad_topic4,bad_topic5,bad_topic6,main_good_topic,main_bad_topic,business_id
0,0, Gruby's New York Deli,0.265877298,0.24572699,0.304731234,0.054521188,0.104435618,0.014764064,0.031427358,0.490099884,0.281775967,0.125136582,0.003466195,0.061420049,good_topic3,"bad_topic2,bad_topic3,bad_topic4",dqZWU5lP2ElXxJK3kY2NwA
1,1,# 19,0.217362992,0.0033456,0.598695351,0.096896597,0.02170265,0.056114639,0.01307701,0.605195403,0.211257435,0.039543167,0.0,0.128391474,good_topic3,"bad_topic2,bad_topic3,bad_topic6",sS25ybHXWdkdhcUhfkWJxQ
2,2,051 Subs,0.323895721,0.0,0.365826398,0.053226713,0.225024023,0.023333555,0.096487117,0.556190014,0.214379659,0.056522872,0.0,0.068418627,good_topic3,"bad_topic2,bad_topic3",znUajV9u3aMHiyw5NlPaGA
3,3,081 Italian Restaurant & Take Out,0.52099343,0.002191098,0.205290828,0.0,0.233539326,0.027442863,0.061361775,0.581061244,0.138596088,0.0,0.0862284,0.13160349400000002,good_topic1,"bad_topic2,bad_topic3,bad_topic6",qXSaMoZrmBE3c2gOCQC9hA
4,4,10 HIGH Club,0.0,0.0,0.478445001,0.0,0.0,0.513456181,0.017023201,0.624131882,0.155570723,0.161513734,0.0,0.034591587,good_topic6,"bad_topic2,bad_topic3,bad_topic4",UExp6ewvtYnEC4W9rUopxg
5,5,101 Bagel Cafe,0.113289771,0.32624255,0.381757958,0.0,0.16193327400000002,0.004999641,0.019982981,0.576674433,0.279482505,0.041599359,0.004850561,0.068975815,good_topic3,"bad_topic2,bad_topic3",zxL4uSIlNyr6BjkvPCrGHg
6,6,101 Beer Kitchen,0.164792933,0.076651207,0.033911213,0.124173876,0.307993206,0.28216814100000004,0.024945766,0.5578045079999999,0.24087301100000005,0.077403647,0.0,0.090448222,good_topic5,"bad_topic2,bad_topic3",JqSL9fNnkwsxQkqGJyHJ2g
7,7,13 Virtues Brewing,0.18521614600000005,0.07150102900000001,0.269128224,0.0,0.113828795,0.349122986,0.027638642,0.5469341,0.234834907,0.108593319,0.008795302,0.067190435,good_topic6,"bad_topic2,bad_topic3,bad_topic4",MX0ee_siOqeRwKK4vBGz4w
8,8,15th Ave Hophouse,0.076178314,0.079556778,0.122117354,0.081934779,0.164977251,0.46400189,0.011088361,0.5149822070000001,0.253029227,0.071910035,0.009157638,0.132720859,good_topic6,"bad_topic2,bad_topic3,bad_topic6",a8phOs6TYkCtzKGrJWpTyQ
9,9,1776 Cheesesteak,0.297398319,0.028796623,0.371714785,0.166834849,0.111476923,0.013171859,0.030211174,0.5174059,0.214475406,0.121889213,0.004404276,0.103331654,good_topic3,"bad_topic2,bad_topic3,bad_topic4,bad_topic6",cmFvz2m5NIyq9PAo4-qCGA
