names,0
 Gruby's New York Deli,good_topic3
# 19,good_topic3
051 Subs,good_topic3
081 Italian Restaurant & Take Out,good_topic1
10 HIGH Club,good_topic6
101 Bagel Cafe,good_topic3
101 Beer Kitchen,good_topic5
13 Virtues Brewing,good_topic6
15th Ave Hophouse,good_topic6
1776 Cheesesteak,good_topic3
1831Tavern,good_topic6
1911 Biscuits & Burgers,good_topic2
2 Chefs and a Table,good_topic1
21st Amendment,good_topic6
24 Diner,good_topic2
24th & Meatballs,good_topic1
255 Tapas Lounge,good_topic6
2N1 Salad Bar and Grill,good_topic1
2Twenty2,good_topic5
2nd Street Cafe,good_topic3
3 Chicks Espresso Cafe,good_topic2
303 Caf茅,good_topic6
310 Lakeside,good_topic5
33 & Melt,good_topic1
3350 Poke Cafe,good_topic1
360 Primo Coffee Shop,good_topic3
40 Carrots,good_topic1
4Corners Tavern,good_topic5
4th Street Bar & Grill,good_topic6
5 Napkin Burger,good_topic4
5 South Main,good_topic2
50's Burgers,good_topic4
50's Diner,good_topic2
503 Burger Co,good_topic4
5Church Atlanta,good_topic5
6th Ave Bread & Deli,good_topic2
787 Mofongo,good_topic1
808 Sunrise Deli,good_topic3
87th & Meatballs,good_topic1
888 Caffe Express,good_topic3
888 Mini Cafe,good_topic1
888 Pan Asian Restaurant,good_topic1
89 Fish & Grill,good_topic5
903 Mills Market,good_topic6
95th Street Grill,good_topic5
A & J Wingburger,good_topic1
A Bread Affair,good_topic3
A Common Table,good_topic1
A Fork In the Road - Norwell,good_topic6
A Royal Affair Cafe,good_topic1
A&B Burgers,good_topic5
A&B Salem,good_topic4
A&D Buffalo's,good_topic4
A&W,good_topic5
A&W Restaurant,good_topic5
A'port Diner,good_topic5
ABC Commissary,good_topic5
AJ on the Rails,good_topic3
AJ's Press,good_topic5
APM coffee,good_topic2
ATL DELI,good_topic5
ATL Deli,good_topic4
Abel's On the Lake,good_topic5
Acapulco Mexican Taqueria,good_topic1
Ace Burger Bar,good_topic4
Ace Ticket Agency,good_topic3
Achilles Art Cafe Coffee Shop,good_topic2
Achiote Puerto Rican Restaurant,good_topic1
Ada's Cafe,good_topic2
Adams Corner Caf茅 & Butcher,good_topic2
Addy's Sandwich Bar,good_topic1
Adler's,good_topic4
Adonia Tea House,good_topic2
AeroJuice,good_topic2
Against The Grain,good_topic4
Airport Cafe,good_topic2
Aisle 5,good_topic6
Al Fresco,good_topic5
Al's Harvard Square Cafe,good_topic3
Al's South Street Cafe,good_topic3
Al's State Street Cafe,good_topic3
Al's Tech Square Cafe,good_topic1
Al's Tradecenter Cafe,good_topic3
Aladdin's Mediterranean Grill,good_topic6
Alba Deli,good_topic1
Alchemy Caf茅,good_topic2
Alex's Kitchen,good_topic1
Alexander's Convenient Food Stores,good_topic3
Ali Baba's Deli,good_topic1
Alive & Kicking Lobsters,good_topic5
All City Subs,good_topic1
All Italian Market & Deli,good_topic1
All Star Burger,good_topic4
All Star Sandwich Bar,good_topic1
All-Spice Deli,good_topic5
All-Way,good_topic4
AllStar Wings & Ribs,good_topic6
Allen's Creamery & Coffee House,good_topic2
Allston Diner,good_topic2
Alon's,good_topic3
